Model,F1,AUROC,Accuracy
Stacking (LR),0.8776912505726066,0.9472517464526401,0.8789664551223935
Weighted Ensemble,0.8768821966341895,0.9451306870161243,0.8739800543970988
ET,0.8707294552169899,0.9423746659773189,0.8730734360834089
SVM,0.8690095846645367,0.9360303926734062,0.8699002719854941
LGBM,0.8686679174484052,0.9465769199471646,0.8730734360834089
GB,0.8658932714617169,0.9377047186072107,0.8689936536718041
RF,0.8625636279500232,0.9376845806664261,0.8653671804170444
XGB,0.8600746268656716,0.9428140018691298,0.8640072529465095
MLP,0.8525641025641025,0.9299692834756279,0.8540344514959202
LR,0.8314298766560073,0.9096020167531227,0.8327289211242067
Combined Meta,0.8225733634311513,0.8925587431952254,0.8218495013599275
